type,time,channel,note,velocity,pitch 
note_on,14.101157903671265,1,64,127,
pitchwheel,14.11558198928833,1,,,0
note_off,14.153925895690918,2,55,64,
pitchwheel,14.15544605255127,2,,,0
note_on,14.155745029449463,2,55,127,
note_off,14.173543930053711,1,64,64,
pitchwheel,14.21457576751709,1,,,12
note_on,14.214747905731201,1,64,127,
pitchwheel,14.231741905212402,1,,,0
note_off,14.25796103477478,2,55,64,
pitchwheel,14.275724649429321,0,,,33
pitchwheel,14.303460836410522,0,,,-12
pitchwheel,14.315513849258423,0,,,0
pitchwheel,14.317490816116333,2,,,-25
note_on,14.318128824234009,2,55,127,
pitchwheel,14.337881803512573,2,,,0
pitchwheel,14.387507915496826,1,,,97
note_off,14.425784826278687,1,64,64,
pitchwheel,14.426864862442017,1,,,-7
note_on,14.427191734313965,1,64,127,
pitchwheel,14.443712949752808,1,,,0
note_off,14.461731910705566,1,64,64,
pitchwheel,14.509658813476562,2,,,51
